"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年6月30日","781.90","777.40","781.90","777.40","0.01K","0.18%"
"2020年6月29日","780.50","776.90","780.50","776.90","0.01K","1.39%"
"2020年6月26日","769.80","781.00","788.10","769.80","0.07K","-0.01%"
"2020年6月25日","769.90","766.60","769.90","766.40","0.03K","0.44%"
"2020年6月24日","766.50","768.10","768.10","766.50","0.04K","-3.06%"
"2020年6月23日","790.70","792.40","795.70","790.70","0.06K","1.67%"
"2020年6月22日","777.70","784.50","787.20","777.70","0.06K","-1.59%"
"2020年6月19日","790.30","790.30","790.30","790.30","-","-1.31%"
"2020年6月18日","800.80","800.80","800.80","800.80","-","1.14%"
"2020年6月16日","791.80","791.80","791.80","791.80","-","2.41%"
"2020年6月11日","773.20","786.60","786.60","773.20","0.10K","-4.59%"
"2020年6月10日","810.40","813.70","816.00","810.40","0.01K","-1.09%"
"2020年6月9日","819.30","813.90","821.50","813.90","0.01K","-2.08%"
"2020年6月5日","836.70","831.00","836.70","826.50","0.06K","3.22%"
"2020年6月4日","810.60","814.00","814.00","810.60","0.00K","0.06%"
"2020年6月3日","810.10","797.30","810.10","797.30","0.03K","3.34%"
"2020年6月2日","783.90","781.30","783.90","780.20","0.05K","2.03%"
"2020年6月1日","768.30","766.10","768.30","766.10","0.01K","2.33%"
"2020年5月29日","750.80","758.60","758.60","750.80","0.01K","-1.50%"
"2020年5月28日","762.20","762.70","763.00","762.20","0.03K","1.15%"
"2020年5月27日","753.50","754.80","754.80","753.50","0.04K","-0.07%"
"2020年5月26日","754.00","755.20","755.20","754.00","0.04K","2.35%"
"2020年5月25日","736.70","731.50","736.70","731.50","0.09K","3.75%"
"2020年5月22日","710.10","702.10","710.10","702.10","0.02K","-0.29%"
"2020年5月21日","712.20","712.20","712.20","712.20","-","-0.39%"
"2020年5月20日","715.00","701.30","715.00","701.30","0.03K","2.20%"
"2020年5月19日","699.60","702.00","702.00","699.60","0.03K","-1.74%"
"2020年5月18日","712.00","698.50","712.00","698.50","0.09K","5.81%"
"2020年5月15日","672.90","676.50","676.50","671.10","0.02K","2.39%"
"2020年5月14日","657.20","669.10","669.10","657.20","0.00K","-3.32%"
"2020年5月13日","679.80","678.30","682.30","678.30","0.04K","-2.83%"
"2020年5月8日","699.60","698.70","701.00","698.70","0.03K","3.31%"
"2020年5月6日","677.20","678.80","680.60","677.20","0.01K","-0.21%"
"2020年5月5日","678.60","676.90","678.60","676.90","0.02K","1.74%"
"2020年5月4日","667.00","667.00","667.00","667.00","-","-3.75%"
"2020年4月30日","693.00","722.70","722.70","693.00","0.01K","-2.22%"
"2020年4月29日","708.70","687.00","708.70","687.00","0.01K","3.79%"
