"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年6月30日","1.751","1.697","1.784","1.688","186.91K","2.46%"
"2020年6月29日","1.709","1.567","1.753","1.558","273.25K","14.31%"
"2020年6月26日","1.495","1.441","1.567","1.432","7.25K","0.88%"
"2020年6月25日","1.482","1.595","1.598","1.440","62.68K","-7.20%"
"2020年6月24日","1.597","1.627","1.656","1.585","43.23K","-2.44%"
"2020年6月23日","1.637","1.660","1.663","1.614","85.19K","-1.62%"
"2020年6月22日","1.664","1.671","1.712","1.643","121.43K","-0.30%"
"2020年6月19日","1.669","1.637","1.684","1.630","123.84K","1.89%"
"2020年6月18日","1.638","1.638","1.661","1.611","124.79K","0.00%"
"2020年6月17日","1.638","1.613","1.648","1.602","150.27K","1.49%"
"2020年6月16日","1.614","1.673","1.685","1.597","167.10K","-3.30%"
"2020年6月15日","1.669","1.753","1.761","1.661","191.89K","-3.58%"
"2020年6月12日","1.731","1.817","1.822","1.727","-","-4.52%"
"2020年6月11日","1.813","1.787","1.833","1.766","213.62K","1.85%"
"2020年6月10日","1.780","1.763","1.808","1.674","203.93K","0.74%"
"2020年6月9日","1.767","1.809","1.829","1.756","207.73K","-1.23%"
"2020年6月8日","1.789","1.810","1.816","1.750","206.09K","0.39%"
"2020年6月5日","1.782","1.821","1.864","1.777","207.23K","-2.20%"
"2020年6月4日","1.822","1.809","1.854","1.795","114.33K","0.05%"
"2020年6月3日","1.821","1.774","1.861","1.771","200.60K","2.48%"
"2020年6月2日","1.777","1.780","1.801","1.758","142.96K","0.17%"
"2020年6月1日","1.774","1.830","1.848","1.742","205.24K","-4.06%"
"2020年5月29日","1.849","1.819","1.865","1.763","221.37K","1.20%"
"2020年5月28日","1.827","1.878","1.896","1.811","160.77K","6.10%"
"2020年5月27日","1.722","1.774","1.815","1.711","2.99K","-3.96%"
"2020年5月26日","1.793","1.746","1.809","1.692","44.87K","-3.81%"
"2020年5月25日","1.864","1.863","1.886","1.843","-","0.05%"
"2020年5月24日","1.863","1.883","1.883","1.861","-","7.63%"
"2020年5月22日","1.731","1.726","1.760","1.680","53.71K","1.23%"
"2020年5月21日","1.710","1.778","1.785","1.692","99.42K","-3.44%"
"2020年5月20日","1.771","1.804","1.889","1.743","158.34K","-3.22%"
"2020年5月19日","1.830","1.769","1.857","1.763","241.44K","2.64%"
"2020年5月18日","1.783","1.725","1.851","1.702","224.94K","8.32%"
"2020年5月15日","1.646","1.675","1.732","1.634","169.71K","-2.08%"
"2020年5月14日","1.681","1.643","1.715","1.610","206.53K","4.02%"
"2020年5月13日","1.616","1.695","1.741","1.595","254.68K","-6.05%"
"2020年5月12日","1.720","1.847","1.849","1.685","228.49K","-5.81%"
"2020年5月11日","1.826","1.838","1.890","1.803","224.97K","0.16%"
"2020年5月8日","1.823","1.901","1.927","1.811","188.40K","-3.75%"
"2020年5月7日","1.894","1.956","1.989","1.886","228.87K","-2.57%"
"2020年5月6日","1.944","2.087","2.111","1.929","265.47K","-8.90%"
"2020年5月5日","2.134","1.991","2.162","1.981","307.83K","7.07%"
"2020年5月4日","1.993","1.961","2.006","1.935","187.91K","5.45%"
"2020年5月1日","1.890","1.936","2.016","1.872","181.68K","-3.03%"
"2020年4月30日","1.949","1.878","1.953","1.825","169.44K","4.28%"
"2020年4月29日","1.869","1.949","1.973","1.860","159.45K","4.18%"
"2020年4月28日","1.794","1.831","1.923","1.702","3.60K","-1.37%"
"2020年4月27日","1.819","1.701","1.850","1.593","67.07K","4.18%"
"2020年4月24日","1.746","1.818","1.839","1.702","77.81K","-3.80%"
"2020年4月23日","1.815","1.910","1.953","1.806","93.52K","-6.40%"
"2020年4月22日","1.939","1.836","1.952","1.774","162.99K","6.48%"
"2020年4月21日","1.821","1.943","1.974","1.779","283.42K","-5.35%"
"2020年4月20日","1.924","1.774","1.970","1.701","229.82K","9.75%"
"2020年4月17日","1.753","1.689","1.806","1.661","196.98K","3.97%"
"2020年4月16日","1.686","1.591","1.719","1.555","235.59K","5.51%"
"2020年4月15日","1.598","1.639","1.666","1.586","152.70K","-3.15%"
"2020年4月14日","1.650","1.725","1.737","1.633","198.54K","-4.29%"
"2020年4月13日","1.724","1.752","1.813","1.698","196.13K","-0.52%"
"2020年4月9日","1.733","1.791","1.825","1.721","202.18K","-2.80%"
"2020年4月8日","1.783","1.905","1.918","1.771","227.40K","-3.73%"
"2020年4月7日","1.852","1.759","1.912","1.747","261.93K","6.99%"
"2020年4月6日","1.731","1.650","1.755","1.630","187.96K","6.79%"
"2020年4月3日","1.621","1.551","1.659","1.530","155.16K","4.45%"
"2020年4月2日","1.552","1.591","1.624","1.521","165.32K","-2.21%"
"2020年4月1日","1.587","1.643","1.679","1.580","143.67K","-3.23%"
"2020年3月31日","1.640","1.702","1.731","1.636","142.55K","-2.96%"
"2020年3月30日","1.690","1.630","1.708","1.613","102.31K","3.43%"
"2020年3月27日","1.634","1.640","1.650","1.597","-","-0.18%"
"2020年3月26日","1.637","1.657","1.680","1.612","-","-1.33%"
"2020年3月25日","1.659","1.673","1.716","1.638","-","0.36%"
"2020年3月24日","1.653","1.590","1.687","1.583","-","3.18%"
"2020年3月23日","1.602","1.533","1.628","1.519","-","-0.12%"
"2020年3月20日","1.604","1.647","1.700","1.574","-","-3.02%"
"2020年3月19日","1.654","1.632","1.683","1.602","-","3.12%"
"2020年3月18日","1.604","1.721","1.728","1.555","204.44K","-7.23%"
"2020年3月17日","1.729","1.797","1.820","1.711","163.79K","-4.74%"
"2020年3月16日","1.815","1.854","1.854","1.778","167.17K","-2.89%"
"2020年3月13日","1.869","1.810","1.951","1.795","222.42K","1.52%"
"2020年3月12日","1.841","1.883","1.883","1.750","280.15K","-1.97%"
"2020年3月11日","1.878","1.938","1.998","1.860","318.55K","-3.00%"
"2020年3月10日","1.936","1.835","1.955","1.794","350.20K","8.89%"
"2020年3月9日","1.778","1.678","1.830","1.610","291.35K","4.10%"
"2020年3月6日","1.708","1.767","1.767","1.705","213.51K","-3.61%"
"2020年3月5日","1.772","1.829","1.847","1.756","152.64K","-3.01%"
"2020年3月4日","1.827","1.805","1.845","1.785","138.21K","1.50%"
"2020年3月3日","1.800","1.763","1.839","1.756","207.50K","2.51%"
"2020年3月2日","1.756","1.695","1.765","1.680","197.99K","4.28%"
"2020年2月28日","1.684","1.748","1.750","1.642","218.42K","-3.88%"
"2020年2月27日","1.752","1.828","1.831","1.719","276.10K","-3.79%"
"2020年2月26日","1.821","1.848","1.880","1.810","7.70K","-1.41%"
"2020年2月25日","1.847","1.836","1.862","1.819","70.53K","1.09%"
"2020年2月24日","1.827","1.884","1.884","1.824","75.20K","-4.09%"
"2020年2月21日","1.905","1.915","1.925","1.861","146.81K","-0.78%"
"2020年2月20日","1.920","1.967","2.025","1.907","266.25K","-1.79%"
"2020年2月19日","1.955","1.969","1.978","1.945","269.98K","-1.31%"
"2020年2月18日","1.981","1.880","1.983","1.874","322.72K","2.64%"
"2020年2月17日","1.930","1.901","1.946","1.889","-","1.47%"
"2020年2月16日","1.902","1.849","1.907","1.849","-","3.54%"
"2020年2月14日","1.837","1.828","1.854","1.795","188.95K","0.60%"
"2020年2月13日","1.826","1.846","1.869","1.823","280.38K","-0.98%"
"2020年2月12日","1.844","1.790","1.855","1.789","303.31K","3.13%"
"2020年2月11日","1.788","1.768","1.800","1.753","278.43K","1.25%"
"2020年2月10日","1.766","1.813","1.813","1.759","337.23K","-4.95%"
"2020年2月7日","1.858","1.863","1.898","1.842","272.13K","-0.21%"
"2020年2月6日","1.862","1.865","1.906","1.832","186.21K","0.05%"
"2020年2月5日","1.861","1.876","1.884","1.825","195.46K","-0.59%"
"2020年2月4日","1.872","1.823","1.888","1.804","184.04K","2.91%"
"2020年2月3日","1.819","1.852","1.880","1.814","163.79K","-1.20%"
"2020年1月31日","1.841","1.832","1.856","1.812","135.68K","0.66%"
"2020年1月30日","1.829","1.879","1.886","1.815","219.70K","-2.56%"
"2020年1月29日","1.877","1.927","1.938","1.858","10.05K","-2.95%"
"2020年1月28日","1.934","1.902","1.952","1.883","59.30K","1.68%"
"2020年1月27日","1.902","1.935","1.976","1.888","72.17K","0.48%"
"2020年1月24日","1.893","1.938","1.945","1.872","142.19K","-1.71%"
"2020年1月23日","1.926","1.915","1.980","1.913","179.79K","1.10%"
"2020年1月22日","1.905","1.912","1.942","1.895","240.00K","0.53%"
"2020年1月21日","1.895","1.970","1.970","1.830","255.72K","-2.22%"
"2020年1月20日","1.938","1.905","1.948","1.893","-","1.73%"
"2020年1月19日","1.905","1.958","1.964","1.804","-","-4.89%"
"2020年1月17日","2.003","2.077","2.078","1.994","213.28K","-3.56%"
"2020年1月16日","2.077","2.134","2.170","2.071","206.42K","-2.03%"
"2020年1月15日","2.120","2.181","2.189","2.104","218.92K","-3.06%"
"2020年1月14日","2.187","2.188","2.255","2.173","281.85K","0.23%"
"2020年1月13日","2.182","2.210","2.226","2.163","232.95K","-0.91%"
"2020年1月10日","2.202","2.166","2.234","2.137","282.65K","1.66%"
"2020年1月9日","2.166","2.151","2.170","2.105","230.03K","1.17%"
"2020年1月8日","2.141","2.153","2.185","2.115","242.56K","-0.97%"
"2020年1月7日","2.162","2.149","2.178","2.102","163.01K","1.26%"
"2020年1月6日","2.135","2.112","2.173","2.099","154.68K","0.23%"
"2020年1月3日","2.130","2.129","2.163","2.083","144.67K","0.38%"
"2020年1月2日","2.122","2.184","2.188","2.116","164.57K","-2.62%"
"2020年1月1日","2.179","2.182","2.183","2.173","-","-0.46%"
"2019年12月31日","2.189","2.191","2.207","2.151","116.89K","0.14%"
"2019年12月30日","2.186","2.247","2.258","2.182","124.33K","1.30%"
"2019年12月27日","2.158","2.272","2.286","2.138","8.62K","-5.93%"
"2019年12月26日","2.294","2.184","2.297","2.184","53.81K","2.59%"
"2019年12月25日","2.236","2.208","2.237","2.208","-","2.95%"
"2019年12月24日","2.172","2.202","2.223","2.162","49.76K","-1.90%"
